Date,Time,Weekday_Name,Volume,Open,High,Low,Close
2/17/22,14:00:00,Thursday,49834,1.13594,1.13796,1.13507,1.13594
2/17/22,18:00:00,Thursday,13845,1.13593,1.13672,1.13569,1.13622
2/17/22,22:00:00,Thursday,12446,1.13625,1.13714,1.13577,1.13681
2/18/22,2:00:00,Friday,11727,1.13682,1.13716,1.13612,1.13659
2/18/22,6:00:00,Friday,22465,1.1366,1.13772,1.1364,1.1371
2/18/22,10:00:00,Friday,29630,1.1371,1.13725,1.13468,1.1349
2/18/22,14:00:00,Friday,48016,1.13491,1.13542,1.1314,1.13224
2/18/22,18:00:00,Friday,15439,1.13224,1.13358,1.13219,1.13237
2/20/22,22:00:00,Sunday,15695,1.13221,1.1358,1.13132,1.13536
2/21/22,2:00:00,Monday,8099,1.13534,1.1368,1.1353,1.13626
2/21/22,6:00:00,Monday,22183,1.13624,1.13909,1.1354,1.13635
2/21/22,10:00:00,Monday,23547,1.13636,1.13666,1.13206,1.133
2/21/22,14:00:00,Monday,24288,1.133,1.13494,1.13252,1.13364
2/21/22,18:00:00,Monday,11146,1.13366,1.13433,1.13066,1.131
2/21/22,22:00:00,Monday,15052,1.13138,1.13199,1.12964,1.13038
2/22/22,2:00:00,Tuesday,15770,1.1304,1.13096,1.1288,1.13068
2/22/22,6:00:00,Tuesday,40005,1.13068,1.13368,1.12927,1.13196
2/22/22,10:00:00,Tuesday,44010,1.13198,1.1367,1.13184,1.13414
2/22/22,14:00:00,Tuesday,44124,1.13412,1.13542,1.13249,1.13337
2/22/22,18:00:00,Tuesday,20633,1.13336,1.13412,1.13221,1.13264
2/22/22,22:00:00,Tuesday,6436,1.1326,1.1336,1.13259,1.1335
2/23/22,2:00:00,Wednesday,7464,1.13351,1.1339,1.132,1.13256
2/23/22,6:00:00,Wednesday,26336,1.13256,1.13592,1.1316,1.13556
2/23/22,10:00:00,Wednesday,28143,1.13556,1.13584,1.13364,1.13515
2/23/22,14:00:00,Wednesday,39677,1.13514,1.13518,1.13062,1.13124
2/23/22,18:00:00,Wednesday,17701,1.13122,1.13125,1.13012,1.13046
2/23/22,22:00:00,Wednesday,15853,1.1308,1.13111,1.12752,1.12932
2/24/22,2:00:00,Thursday,62258,1.12932,1.1294,1.12086,1.1238
2/24/22,6:00:00,Thursday,78433,1.1238,1.12624,1.1209,1.12114
2/24/22,10:00:00,Thursday,86397,1.12114,1.12124,1.11528,1.1162
2/24/22,14:00:00,Thursday,88517,1.11619,1.11789,1.11064,1.11668
2/24/22,18:00:00,Thursday,54551,1.1167,1.12214,1.116,1.11938
2/24/22,22:00:00,Thursday,20114,1.11923,1.12096,1.11863,1.12038
2/25/22,2:00:00,Friday,19004,1.12036,1.12288,1.11988,1.12256
2/25/22,6:00:00,Friday,49229,1.12256,1.12256,1.11693,1.11816
2/25/22,10:00:00,Friday,59764,1.11814,1.12416,1.1166,1.12368
2/25/22,14:00:00,Friday,62493,1.12368,1.1267,1.12186,1.12409
2/25/22,18:00:00,Friday,20912,1.12408,1.12744,1.12408,1.12712
